sample1,,
Wavelength (nm),%T,
2500,4.521569252,
2499,4.023872852,
2498,4.69645071,
2497,4.625243664,
2496,4.434132576,
2495,4.57583046,
2494,4.214333057,
2493,4.088134289,
2492,4.675702572,
2491,4.698011398,
2490,4.297251225,
2489,4.60869503,
2488,4.373838902,
2487,4.298635006,
2486,4.136377335,
2485,4.268713474,
2484,4.707640171,
2483,4.167435169,
2482,4.444139004,
2481,4.426446915,
2480,4.598722458,
2479,4.547604561,
2478,4.410851955,
2477,4.234598637,
2476,4.26845789,
2475,4.426247597,
2474,4.60657835,
2473,4.302947044,
2472,4.272441387,
2471,4.257544518,
2470,4.101267815,
2469,4.283141613,
2468,4.409384251,
2467,4.476727486,
2466,4.208613396,
2465,4.396932602,
2464,4.33902359,
2463,4.215116024,
2462,4.237765312,
2461,4.283918381,
2460,4.149055004,
2459,3.995052338,
2458,4.169032574,
2457,4.169882298,
2456,4.175549507,
2455,4.277130127,
2454,4.238643169,
2453,4.248757839,
2452,4.331468582,
2451,4.370447636,
2450,4.152665138,
2449,4.018227577,
2448,4.072932243,
2447,4.239842892,
2446,4.290796757,
2445,4.071097851,
2444,4.010008812,
2443,4.336504459,
2442,4.049593925,
2441,4.173012257,
2440,4.093699455,
2439,4.355489254,
2438,4.266144753,
2437,4.345517635,
2436,4.283545017,
2435,4.315019131,
2434,4.211037636,
2433,4.368992805,
2432,4.409002304,
2431,4.548286438,
2430,4.349122524,
2429,4.488115311,
2428,4.315746307,
2427,4.491776943,
2426,4.58146286,
2425,4.644958019,
2424,4.524012566,
2423,4.634972572,
2422,4.574156284,
2421,4.702276707,
2420,4.735336304,
2419,4.813877106,
2418,4.670144081,
2417,4.698845863,
2416,4.62681818,
2415,4.792606831,
2414,4.920992851,
2413,4.729670048,
2412,4.753116608,
2411,4.947568893,
2410,4.928575516,
2409,4.887469292,
2408,4.849893093,
2407,4.847783089,
2406,4.767883778,
2405,5.004141331,
2404,4.676854134,
2403,4.93450737,
2402,4.868337154,
2401,4.731136322,
2400,4.868139744,
2399,4.770544052,
2398,4.855084419,
2397,4.828559399,
2396,4.725380898,
2395,4.696731091,
2394,4.719036579,
2393,4.585132599,
2392,4.850540161,
2391,4.587432861,
2390,4.689611435,
2389,4.616860867,
2388,4.580310345,
2387,4.629878521,
2386,4.658966064,
2385,4.565159798,
2384,4.563801289,
2383,4.46364975,
2382,4.502279758,
2381,4.405444622,
2380,4.402677536,
2379,4.301794529,
2378,4.3326931,
2377,4.334658623,
2376,4.316241264,
2375,4.227949142,
2374,4.286994934,
2373,4.243287563,
2372,4.228088379,
2371,4.137794971,
2370,4.095830917,
2369,4.153657913,
2368,4.224676609,
2367,4.064861298,
2366,4.0802145,
2365,3.618947506,
2364,4.198184013,
2363,4.100758076,
2362,4.031392574,
2361,4.030064583,
2360,3.978089333,
2359,3.985868692,
2358,3.925532579,
2357,3.92466712,
2356,4.012512207,
2355,3.887145519,
2354,3.950493336,
2353,3.909213781,
2352,3.893133163,
2351,3.841036558,
2350,3.938869715,
2349,3.917622089,
2348,4.038696289,
2347,3.893359661,
2346,3.989477396,
2345,3.950594664,
2344,3.93407011,
2343,3.879778147,
2342,3.909241676,
2341,3.943191767,
2340,3.939553261,
2339,3.950824261,
2338,3.950572014,
2337,3.935836315,
2336,3.933401108,
2335,3.935060978,
2334,3.919717312,
2333,3.994498014,
2332,3.900682211,
2331,3.991549492,
2330,3.874723196,
2329,4.020865917,
2328,4.031098843,
2327,4.108529091,
2326,4.120480061,
2325,4.158569336,
2324,4.149007797,
2323,4.191699028,
2322,4.215024948,
2321,4.290947437,
2320,4.229920387,
2319,4.170440674,
2318,4.261636257,
2317,4.270690918,
2316,4.370597839,
2315,4.280055523,
2314,4.284519196,
2313,4.252075195,
2312,4.302114487,
2311,4.315673828,
2310,4.322908401,
2309,4.311647892,
2308,4.369497299,
2307,4.287866592,
2306,4.30129528,
2305,4.393961906,
2304,4.26975441,
2303,4.374599934,
2302,4.447401524,
2301,4.31158638,
2300,4.348720551,
2299,4.402264595,
2298,4.420076847,
2297,4.46136713,
2296,4.276548386,
2295,4.301954746,
2294,4.437853336,
2293,4.374719143,
2292,4.473106384,
2291,4.473942757,
2290,4.381815434,
2289,4.561583996,
2288,4.396502495,
2287,4.377635956,
2286,4.297109127,
2285,4.551290512,
2284,4.466073036,
2283,4.651430607,
2282,4.368098259,
2281,4.535123348,
2280,4.434316635,
2279,4.347780228,
2278,4.459857464,
2277,4.544328213,
2276,4.487825871,
2275,4.222002983,
2274,4.251078606,
2273,4.562879562,
2272,4.294978619,
2271,4.272257805,
2270,4.334740162,
2269,4.669547558,
2268,4.505153179,
2267,4.233558655,
2266,4.012073994,
2265,4.196771622,
2264,4.297472,
2263,4.008646011,
2262,4.122786045,
2261,4.443833828,
2260,4.166612625,
2259,4.463091373,
2258,4.473012447,
2257,4.440830708,
2256,4.530156136,
2255,4.621584892,
2254,4.601570129,
2253,4.730365276,
2252,4.694506645,
2251,5.035058022,
2250,5.208331108,
2249,5.558209896,
2248,5.924107075,
2247,6.309498787,
2246,6.530594826,
2245,7.020354271,
2244,7.539161205,
2243,7.905903339,
2242,8.39900589,
2241,9.071068764,
2240,9.614860535,
2239,10.18170738,
2238,10.80733871,
2237,11.60667419,
2236,12.16473389,
2235,13.0436573,
2234,13.7551918,
2233,14.53381443,
2232,15.26691914,
2231,16.26952934,
2230,17.20118713,
2229,18.03493118,
2228,18.98311424,
2227,19.91262436,
2226,20.77370644,
2225,21.74657059,
2224,22.79752731,
2223,23.88739204,
2222,24.81870842,
2221,25.87195015,
2220,26.74022293,
2219,27.99501801,
2218,29.03011513,
2217,30.20684433,
2216,31.03813744,
2215,32.22829819,
