Device number: 1500097,,,,,,,,,,,,
Battery voltage,3.91,3.91,3.91,3.91,3.9,3.9,3.91,3.89,3.89,3.89,3.87,3.89
Battery percentage,84,84,84,84,82,82,82,81,81,81,80,80
Name,Series1_001_primary02_setting0012,Series1_001_primary02_setting0040,Series1_001_primary02_setting0126,Series1_001_primary02_setting0400,Series1_001_primary02_setting1260,Series1_001_primary02_setting4000,Series1_002_primary08_setting0040,Series1_002_primary08_setting0060,Series1_002_primary08_setting0122,Series1_002_primary08_setting0299,Series1_002_primary08_setting1284,Series1_002_primary08_setting3369
Correction,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset
Date,28/10/2019,28/10/2019,28/10/2019,28/10/2019,28/10/2019,28/10/2019,28/10/2019,28/10/2019,28/10/2019,28/10/2019,28/10/2019,28/10/2019
Time,14:23:03,14:25:18,14:26:04,14:26:35,14:27:04,14:27:29,14:30:49,14:33:51,14:35:10,14:36:06,14:36:31,14:36:51
T_int [ms],60 * 1000.000,38 * 1000.000,8 * 1000.000,3 * 1000.000,1 * 611.190,3 * 221.010,60 * 1000.000,60 * 1000.000,19 * 1000.000,4 * 1000.000,2 * 338.820,4 * 122.650
Averages,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
Ev [lx] (CIE1931 2°),8.82E-02,1.86E-01,7.39E-01,3.06E+00,7.75E+00,2.12E+01,9.68E-02,5.00E-01,3.95E+00,2.10E+01,1.97E+02,5.54E+02
Ee [W/sqm] (380-780nm),4.31E-04,2.72E-03,1.54E-02,7.24E-02,1.86E-01,5.06E-01,3.33E-04,1.52E-03,1.14E-02,6.04E-02,5.64E-01,1.59E+00
Ee [W/sqm] (200-280nm),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Ee [W/sqm] (280-315nm),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Ee [W/sqm] (315-400nm),0.00E+00,0.00E+00,2.67E-06,8.72E-05,6.68E-05,8.21E-04,0.00E+00,0.00E+00,1.33E-08,2.40E-06,2.66E-04,5.10E-05
Ee [W/sqm] (400-550nm),2.79E-04,2.51E-03,1.47E-02,6.95E-02,1.79E-01,4.87E-01,1.52E-04,1.87E-04,4.20E-04,1.62E-03,1.46E-02,4.46E-02
Ee [W/sqm] (550-750nm),1.11E-04,1.65E-04,6.43E-04,2.72E-03,6.86E-03,1.83E-02,1.37E-04,1.29E-03,1.09E-02,5.85E-02,5.47E-01,1.53E+00
Ee [W/sqm] (750-1000nm),4.17E-05,4.22E-05,4.35E-05,6.25E-05,8.84E-05,2.02E-04,4.36E-05,4.79E-05,9.12E-05,2.92E-04,2.47E-03,7.05E-03
CCT [K],0,1347,0,0,0,0,5185,1994,1709,1682,1689,1708
Duv,0,0.033,0,0,0,0,0.017,0,0.006,0.006,0.007,0.007
dE2000 (CIE1931 2°),26.4,39.7,40.8,41,41,41,19.6,31,34.3,34.8,34.9,34.9
dE2000 (CIE1964 10°),25,38.5,39.6,39.9,39.9,39.9,20.9,31.4,34.5,35,35.1,35.1
dE2000 (Judd-Vos 1978 2°),23.8,39.1,40.2,40.5,40.5,40.5,21.6,31.4,34.4,34.9,35,34.9
dE2000 (CIE2006 2° Schanda-Csuti mod.),22.9,38.7,39.8,40.1,40.2,40.2,23.9,32,34.6,35,35.1,35.1
dE2000 (CIE2006 2°),25.1,38.9,39.9,40.2,40.3,40.2,21.1,31.5,34.5,35,35.1,35.1
dE2000 (CIE2006 10°),25,38.4,39.4,39.7,39.7,39.7,21.2,31.5,34.5,35,35.2,35.1
dE2000 (CIE2006 2° TU Ilmenau mod.),24.1,38.7,39.8,40.1,40.2,40.1,22.5,31.8,34.5,35,35.1,35.1
dE2000 (CIE2006 10° TU Ilmenau mod.),24,38.2,39.3,39.6,39.7,39.6,22.9,31.8,34.6,35.1,35.2,35.1
DWl [nm] (CIE1931 2°),475.1,453.7,450,448,447.7,448.3,561.3,589.1,590.5,590.7,590.5,590.2
DWl [nm] (CIE1964 10°),471.6,453.6,450.2,448.3,447.9,448.6,558.3,587.3,589.4,589.7,589.5,589.2
DWl [nm] (Judd-Vos 1978 2°),477.3,453.6,449.3,447.2,446.9,447.5,563.9,588.7,590.3,590.5,590.4,590.1
DWl [nm] (CIE2006 2° Schanda-Csuti mod.),473.1,452.9,448.6,446.7,446.3,446.9,565.8,588.1,590.4,590.6,590.5,590.2
DWl [nm] (CIE2006 2°),474.4,454,450,447.9,447.5,448.2,564.2,588.6,590.5,590.7,590.5,590.2
DWl [nm] (CIE2006 10°),471,453.5,450.4,448.6,448.2,448.8,558.5,587,589.4,589.6,589.5,589.1
DWl [nm] (CIE2006 2° TU Ilmenau mod.),473.7,453.3,449.3,447.4,447.1,447.6,565,588.3,590.4,590.6,590.4,590.1
DWl [nm] (CIE2006 10° TU Ilmenau mod.),470.2,452.7,449.7,448.1,447.8,448.3,559.3,586.5,589.3,589.6,589.4,589.1
PE [%] (CIE1931 2°),42.3,89.8,94.1,95,95,95.1,18.4,81.6,96.7,98.3,98.6,98.6
PE [%] (CIE1964 10°),42.4,90.1,94,94.8,94.9,95,24,82.7,96.9,98.4,98.6,98.6
PE [%] (Judd-Vos 1978 2°),37,88.4,93.4,94.4,94.5,94.6,26.3,83.8,97.1,98.5,98.8,98.7
PE [%] (CIE2006 2° Schanda-Csuti mod.),36.5,89.2,93.7,94.6,94.7,94.8,37.9,87,97.6,98.7,98.8,98.8
PE [%] (CIE2006 2°),41.3,89.7,93.8,94.7,94.7,94.8,25.5,83.8,97.1,98.5,98.7,98.7
